Settled;Description;Type;Odds;Stake (R$);Liability (R$);Profit/Loss (R$);Status
01-Jun-22 17:03:54;Kokkinakis v Ot Virtanen Thanasi Kokkinakis-Match Odds | Betfair Bet ID 1:270170743349 | Placed 01-Jun-22 07:15:00;Back;1,26;5; -- ;-5;Lost
01-Jun-22 15:28:12;Duckworth v Herbert James Duckworth-Match Odds | Betfair Bet ID 1:270148768510 | Placed 31-May-22 21:52:06;Back;2;5; -- ;-5;Lost
01-Jun-22 14:05:42;Thompson v Copil Jordan Thompson-Match Odds | Betfair Bet ID 1:270148799765 | Placed 31-May-22 21:53:25;Back;1,71;5; -- ;3,55;Won
01-Jun-22 13:49:44;Al Shevchenko v Laaksonen Henri Laaksonen-Match Odds | Betfair Bet ID 1:270170855771 | Placed 01-Jun-22 07:16:09;Back;1,92;5; -- ;-5;Lost
31-May-22 15:08:13;Uchida v Str Kirchheimer Kaichi Uchida-Match Odds | Betfair Bet ID 1:270115664878 | Placed 31-May-22 10:52:27;Back;1,58;5; -- ;2,9;Won
26-Apr-22 19:47:48;Lock v Sk Mansouri Skander Mansouri-Match Odds | Betfair Bet ID 1:266243968210 | Placed 26-Apr-22 14:34:25;Back;1,72;5; -- ;-5;Lost
26-Apr-22 15:44:38;C Van Nguyen v A Sutjiadi A Sutjiadi-Match Odds | Betfair Bet ID 1:266218775149 | Placed 26-Apr-22 09:47:38;Back;1,83;5; -- ;-5;Lost
26-Apr-22 14:50:00;A Parazinskaite v E Mandlik E Mandlik-Match Odds | Betfair Bet ID 1:266218810188 | Placed 26-Apr-22 09:48:01;Back;1,5;5; -- ;-5;Lost
25-Apr-22 16:37:52;Coria v Zapata Miralles Federico Coria-Match Odds | Betfair Bet ID 1:266139269747 | Placed 25-Apr-22 12:19:15;Back;1,78;6; -- ;-6;Lost
25-Apr-22 14:52:47;Lajovic v Tiafoe Frances Tiafoe-Match Odds | Betfair Bet ID 1:266128320287 | Placed 25-Apr-22 10:36:50;Back;1,63;5; -- ;3,15;Won
24-Apr-22 18:11:51;Otegui v Martinez Mateo Nicolas Martinez-Match Odds | Betfair Bet ID 1:266051026891 | Placed 24-Apr-22 14:31:09;Back;1,52;6,27; -- ;-6,27;Lost
24-Apr-22 07:39:32;L Bronzetti v S Waltert L Bronzetti-Match Odds | Betfair Bet ID 1:265958500700 | Placed 24-Apr-22 02:45:30;Back;1,5;7; -- ;3,5;Won
23-Apr-22 07:32:41;Arnaldi v Arnaboldi Andrea Arnaboldi-Match Odds | Betfair Bet ID 1:265776190387 | Placed 23-Apr-22 01:35:56;Back;1,89;7,14; -- ;-7,14;Lost
22-Apr-22 09:14:41;d schwartzman v Musetti Diego Schwartzman-Match Odds | Betfair Bet ID 1:265672527531 | Placed 22-Apr-22 07:02:44;Back;1,5;5; -- ;2,5;Won
21-Apr-22 18:29:08;Kontaveit v Alexandrova Anett Kontaveit-Match Odds | Betfair Bet ID 1:265614125337 | Placed 21-Apr-22 12:48:11;Back;1,53;6; -- ;3,18;Won
21-Apr-22 15:58:09;Tama Korpatsch v Emm Raducanu Emma Raducanu-Match Odds | Betfair Bet ID 1:265614156090 | Placed 21-Apr-22 12:48:32;Back;1,52;6; -- ;3,12;Won
21-Apr-22 13:26:49;Djokovic v Kecmanovic Novak Djokovic-Match Odds | Betfair Bet ID 1:265596525520 | Placed 21-Apr-22 09:55:42;Back;1,6;6,99; -- ;4,19;Won
21-Apr-22 12:15:37;Samsonova v Ka Pliskova Karolina Pliskova-Match Odds | Betfair Bet ID 1:265596452109 | Placed 21-Apr-22 09:55:00;Back;1,98;7; -- ;-7;Lost
19-Apr-22 19:53:10;Bellier v Istomin Denis Istomin-Match Odds | Betfair Bet ID 1:265404737742 | Placed 19-Apr-22 14:49:14;Back;1,85;7,24; -- ;6,15;Won
19-Apr-22 12:58:18;Mari Melnikova v Kudermetova Veronika Kudermetova-Match Odds | Betfair Bet ID 1:265369193561 | Placed 19-Apr-22 09:21:38;Back;1,24;10; -- ;2,4;Won
19-Apr-22 06:48:39;Martincova v Bondar Tereza Martincova-Match Odds | Betfair Bet ID 1:265341773912 | Placed 18-Apr-22 22:25:41;Back;1,76;6,81; -- ;-6,81;Lost
18-Apr-22 15:12:31;Samsonova v Paquet Liudmila Samsonova-Match Odds | Betfair Bet ID 1:265305164257 | Placed 18-Apr-22 13:20:17;Back;1,43;7; -- ;3,01;Won
16-Apr-22 07:51:33;Carballes Baena v Cachin Roberto Carballes Baena-Match Odds | Betfair Bet ID 1:264902067677 | Placed 15-Apr-22 22:23:32;Back;1,61;7,65; -- ;-7,65;Lost
16-Apr-22 00:09:17;Olivo v Escobedo Ernesto Escobedo-Match Odds | Betfair Bet ID 1:264888448035 | Placed 15-Apr-22 17:33:38;Back;1,74;7; -- ;-7;Lost
15-Apr-22 20:02:04;Johnson v Krueger Steve Johnson-Match Odds | Betfair Bet ID 1:264888227997 | Placed 15-Apr-22 17:31:24;Back;1,65;6; -- ;3,9;Won
15-Apr-22 08:37:10;Davidovich Fokina v Fritz Taylor Fritz-Match Odds | Betfair Bet ID 1:264790318625 | Placed 15-Apr-22 00:43:13;Back;1,96;8; -- ;-8;Lost
15-Apr-22 06:21:34;Y Putintseva v A Kerber Angelique Kerber-Match Odds | Betfair Bet ID 1:264785259784 | Placed 14-Apr-22 22:01:43;Back;1,75;6,88; -- ;-6,88;Lost
14-Apr-22 19:17:53;Zh Zhang v Ni Mejia Zhizhen Zhang-Match Odds | Betfair Bet ID 1:264769349886 | Placed 14-Apr-22 16:17:13;Back;1,8;6; -- ;4,8;Won
14-Apr-22 18:50:14;Brouwer v Sock Jack Sock-Match Odds | Betfair Bet ID 1:264748721078 | Placed 14-Apr-22 13:38:03;Back;1,52;6,9; -- ;3,59;Won
14-Apr-22 14:18:44;K Stresnakova v D Jakupovic D Jakupovic-Match Odds | Betfair Bet ID 1:264720630406 | Placed 14-Apr-22 09:35:05;Back;1,67;5; -- ;3,35;Won
14-Apr-22 10:33:22;Musetti v Schwartzman Diego Schwartzman-Match Odds | Betfair Bet ID 1:264691499254 | Placed 14-Apr-22 00:28:15;Back;1,57;7,18; -- ;4,09;Won
14-Apr-22 07:32:03;O Weightman v H Moriya H Moriya-Match Odds | Betfair Bet ID 1:264696029391 | Placed 14-Apr-22 03:12:43;Back;1,31;10; -- ;3,1;Won
13-Apr-22 23:16:52;Bellier v Gaio Federico Gaio-Match Odds | Betfair Bet ID 1:264662243557 | Placed 13-Apr-22 15:01:09;Back;1,58;8; -- ;-8;Lost
13-Apr-22 11:31:33;Verdasco v Guinard Fernando Verdasco-Match Odds | Betfair Bet ID 1:264610213964 | Placed 13-Apr-22 06:44:46;Back;1,68;5; -- ;-5;Lost
13-Apr-22 10:03:25;K Kuzmova v X Yao K Kuzmova-Match Odds | Betfair Bet ID 1:264610087936 | Placed 13-Apr-22 06:43:04;Back;2,38;5; -- ;-5;Lost
12-Apr-22 16:25:31;R Harrison v Adrian Andreev Ryan Harrison-Match Odds | Betfair Bet ID 1:264564861445 | Placed 12-Apr-22 14:16:46;Back;1,87;6; -- ;-6;Lost
12-Apr-22 15:56:05;Lajovic v Dimitrov Grigor Dimitrov-Match Odds | Betfair Bet ID 1:264553978855 | Placed 12-Apr-22 11:59:40;Back;1,6;7,8; -- ;4,68;Won
12-Apr-22 06:43:20;E Appleton v F Arcidiacono F Arcidiacono-Match Odds | Betfair Bet ID 1:264523062860 | Placed 12-Apr-22 02:19:12;Back;1,67;7,26; -- ;4,86;Won
11-Apr-22 15:42:38;Hurkacz v Dellien Hubert Hurkacz-Match Odds | Betfair Bet ID 1:264467846375 | Placed 11-Apr-22 10:03:29;Back;1,48;7,08; -- ;3,4;Won
